Co- (228.615 nm), 10-4, Original
Wavelength (nm),10-4 Original Average Background,10-4 Original Average Spectrum
228.585,480.108,480.468
228.586,478.623,480.177
228.587,477.138,479.74
228.589,475.652,480.69
228.59,474.167,484.644
228.591,472.682,493.163
228.592,471.197,506.769
228.594,469.712,526.452
228.595,468.226,553.67
228.596,466.741,587.302
228.597,465.256,626.042
228.599,463.771,668.534
228.6,462.286,761.143
228.601,460.801,976.121
228.602,459.315,1443.202
228.604,457.83,2281.077
228.605,456.345,3703.398
228.606,454.86,6066.811
228.607,453.375,9284.605
228.609,451.89,13187.601
228.61,450.404,17444.71
228.611,448.919,21432.611
228.613,447.434,24415.04
228.614,445.949,25592.753
228.615,444.464,24977.126
228.616,442.978,22697.227
228.618,441.493,18983.991
228.619,440.008,14646.936
228.62,438.523,10370.318
228.621,437.038,6687.243
228.623,435.553,3893.231
228.624,434.067,2070.004
228.625,432.582,1237.77
228.626,431.097,863.645
228.628,429.612,696.507
228.629,428.127,613.677
228.63,426.642,575.485
228.632,425.156,555.855
228.633,423.671,534.825
228.634,422.186,513.492
228.635,420.701,493.314
228.637,419.216,475.866
228.638,417.731,461.098
228.639,416.245,448.803
228.64,414.76,438.833
228.642,413.275,430.789
228.643,411.79,424.309
