Co- (228.615 nm), 20-4, Original
Wavelength (nm),20-4 Original Average Background,20-4 Original Average Spectrum
228.585,577.919,577.919
228.586,575.3,581.116
228.587,572.681,586.657
228.589,570.062,595.455
228.59,567.444,607.204
228.591,564.825,621.23
228.592,562.206,643.05
228.594,559.587,679.536
228.595,556.968,739.409
228.596,554.349,814.369
228.597,551.731,894.704
228.599,549.112,969.182
228.6,546.493,1133.705
228.601,543.874,1534.687
228.602,541.255,2433.302
228.604,538.636,4051.289
228.605,536.018,6791.258
228.606,533.399,11322.685
228.607,530.78,17485.212
228.609,528.161,24962.398
228.61,525.542,33131.946
228.611,522.923,40802.498
228.613,520.305,46565.574
228.614,517.686,48889.838
228.615,515.067,47770.721
228.616,512.448,43429.376
228.618,509.829,36286.004
228.619,507.21,27918.709
228.62,504.591,19662.633
228.621,501.973,12558.495
228.623,499.354,7173.882
228.624,496.735,3665.942
228.625,494.116,2076.291
228.626,491.497,1368.041
228.628,488.878,1051.076
228.629,486.26,882.097
228.63,483.641,793.406
228.632,481.022,739.394
228.633,478.403,684.817
228.634,475.784,635.285
228.635,473.165,596.693
228.637,470.547,575.137
228.638,467.928,561.887
228.639,465.309,548.955
228.64,462.69,529.284
228.642,460.071,508.168
228.643,457.452,490.068
