Co- (228.615 nm), 5-1, Original
Wavelength (nm),5-1 Original Average Background,5-1 Original Average Spectrum
228.585,397.724,409.03
228.586,396.977,406.487
228.587,396.23,402.368
228.589,395.483,397.825
228.59,394.735,394.735
228.591,393.988,394.838
228.592,393.241,398.172
228.594,392.494,405.113
228.595,391.746,416.383
228.596,390.999,430.897
228.597,390.252,447.393
228.599,389.505,464.438
228.6,388.758,500.705
228.601,388.01,585.121
228.602,387.263,769.431
228.604,386.516,1100.94
228.605,385.769,1665.09
228.606,385.021,2604.926
228.607,384.274,3884.353
228.609,383.527,5433.56
228.61,382.78,7116.968
228.611,382.033,8689.272
228.613,381.285,9861.203
228.614,380.538,10319.351
228.615,379.791,10069.8
228.616,379.044,9165.046
228.618,378.296,7697.558
228.619,377.549,5984.828
228.62,376.802,4295.13
228.621,376.055,2837.405
228.623,375.308,1731.533
228.624,374.56,1010.975
228.625,373.813,684.263
228.626,373.066,538.621
228.628,372.319,474.394
228.629,371.571,443.201
228.63,370.824,429.36
228.632,370.077,422.411
228.633,369.33,414.195
228.634,368.583,405.494
228.635,367.835,397.205
228.637,367.088,390.249
228.638,366.341,384.239
228.639,365.594,378.778
228.64,364.847,373.54
228.642,364.099,369.152
228.643,363.352,366.11
