Co- (228.615 nm), 100-4, Original
Wavelength (nm),100-4 Original Average Background,100-4 Original Average Spectrum
228.585,1323.814,1323.814
228.586,1314.57,1345.568
228.587,1305.326,1382.634
228.589,1296.083,1441.555
228.59,1286.839,1521.595
228.591,1277.595,1621.042
228.592,1268.352,1752.237
228.594,1259.108,1931.531
228.595,1249.864,2179.761
228.596,1240.621,2483.321
228.597,1231.377,2826.457
228.599,1222.133,3192.226
228.6,1212.89,3992.708
228.601,1203.646,5865.531
228.602,1194.402,9950.901
228.604,1185.159,17278.776
228.605,1175.915,29704.536
228.606,1166.671,50321.62
228.607,1157.428,78389.008
228.609,1148.184,112456.419
228.61,1138.94,149677.33
228.611,1129.697,184558.271
228.613,1120.453,210608.667
228.614,1111.209,220782.305
228.615,1101.966,215245.328
228.616,1092.722,195196.469
228.618,1083.478,162719.128
228.619,1074.235,124858.401
228.62,1064.991,87562.826
228.621,1055.747,55462.531
228.623,1046.504,31130.123
228.624,1037.26,15269.803
228.625,1028.016,8052.33
228.626,1018.773,4819.853
228.628,1009.529,3382.158
228.629,1000.285,2670.591
228.63,991.042,2340.037
228.632,981.798,2161.25
228.633,972.554,1957.162
228.634,963.311,1751.93
228.635,954.067,1570.983
228.637,944.823,1439.352
228.638,935.58,1340.67
228.639,926.336,1259.71
228.64,917.092,1183.609
228.642,907.849,1114.509
228.643,898.605,1053.812
