Co- (228.615 nm), 50-4, Original
Wavelength (nm),50-4 Original Average Background,50-4 Original Average Spectrum
228.585,877.544,877.544
228.586,872.063,886.15
228.587,866.583,900.764
228.589,861.103,926.661
228.59,855.622,966.429
228.591,850.142,1022.619
228.592,844.662,1096.581
228.594,839.182,1190.999
228.595,833.701,1309.798
228.596,828.221,1451.02
228.597,822.741,1612.264
228.599,817.261,1791.363
228.6,811.78,2201.299
228.601,806.3,3174.698
228.602,800.82,5312.447
228.604,795.339,9146.732
228.605,789.859,15635.979
228.606,784.379,26372.154
228.607,778.899,41008.116
228.609,773.418,58844.839
228.61,767.938,78479.707
228.611,762.458,96976.452
228.613,756.978,110852.375
228.614,751.497,116310.995
228.615,746.017,113488.401
228.616,740.537,103065.867
228.618,735.056,86185.153
228.619,729.576,66432.098
228.62,724.096,46850.857
228.621,718.616,29823.746
228.623,713.135,16835.966
228.624,707.655,8337.986
228.625,702.175,4466.089
228.626,696.694,2730.286
228.628,691.214,1959.252
228.629,685.734,1582.311
228.63,680.254,1410.364
228.632,674.773,1317.067
228.633,669.293,1204.193
228.634,663.813,1088.229
228.635,658.333,985.911
228.637,652.852,913.27
228.638,647.372,860.384
228.639,641.892,818.27
228.64,636.411,779.463
228.642,630.931,744.439
228.643,625.451,713.264
